time_sec,mean_error,rmse
0.0,0.01128195,0.2367745
0.05,0.011610612,0.24420334
0.1,0.012169432,0.2516789
0.15000000000000002,0.012650874,0.25915614
0.2,0.013193713,0.26671156
0.25,0.013869071,0.27420872
0.30000000000000004,0.014630134,0.2817581
0.35000000000000003,0.0153987445,0.28923333
0.4,0.01591454,0.29667246
0.45,0.016241902,0.30407578
0.5,0.016699992,0.31127542
0.55,0.017207585,0.3182386
0.6000000000000001,0.017618295,0.32513365
0.65,0.017838623,0.33194134
0.7000000000000001,0.017932154,0.33860025
0.75,0.018178795,0.34523326
0.8,0.018402204,0.35162342
0.8500000000000001,0.018478792,0.35764784
0.9,0.018492123,0.3634926
0.9500000000000001,0.018535502,0.36916912
1.0,0.018620493,0.3745545
1.05,0.018613694,0.3795784
1.1,0.018540606,0.38442692
1.1500000000000001,0.01857277,0.3892388
1.2000000000000002,0.018294055,0.39387622
1.25,0.018127205,0.39840123
1.3,0.017726645,0.40267593
1.35,0.017189039,0.4064883
1.4000000000000001,0.016755937,0.41034165
1.4500000000000002,0.016168412,0.41397628
1.5,0.015584479,0.4173066
1.55,0.014958381,0.42051402
1.6,0.014243337,0.42368957
1.6500000000000001,0.013566393,0.4267893
1.7000000000000002,0.012860171,0.42970225
1.75,0.012172358,0.4323591
1.8,0.011591633,0.4349042
1.85,0.010920972,0.4372365
1.9000000000000001,0.010398722,0.439489
1.9500000000000002,0.009795274,0.44133657
2.0,0.009201292,0.44317228
2.0500000000000003,0.008514744,0.44477198
2.1,0.007908061,0.44624645
2.15,0.0073091183,0.44768476
2.2,0.0068980665,0.44900516
2.25,0.0065778866,0.4501525
2.3000000000000003,0.006185877,0.45123053
2.35,0.0059727184,0.45211592
2.4000000000000004,0.0055702217,0.4528005
2.45,0.005176516,0.4533217
2.5,0.00495428,0.4538183
2.5500000000000003,0.004859769,0.45431742
2.6,0.0050274213,0.45453447
2.6500000000000004,0.004797467,0.45473245
2.7,0.0042286916,0.4547166
2.75,0.0039371033,0.4544774
2.8000000000000003,0.0036706233,0.4541044
2.85,0.0033305087,0.45370698
2.9000000000000004,0.0029452094,0.4533175
2.95,0.002799853,0.45291442
3.0,0.0028333697,0.45251817
3.0500000000000003,0.0029155263,0.45207295
3.1,0.002943277,0.45174605
3.1500000000000004,0.002914625,0.4514342
3.2,0.0028308085,0.4510785
3.25,0.0027355414,0.45068154
3.3000000000000003,0.0025670987,0.4501854
3.35,0.0023323153,0.44982743
3.4000000000000004,0.0019372271,0.44955522
3.45,0.0016089751,0.44914696
3.5,0.0012406531,0.44862962
3.5500000000000003,0.00056403544,0.44814265
3.6,-0.00021441221,0.4477532
3.6500000000000004,-0.0009070091,0.44718868
3.7,-0.0015143718,0.44643527
3.75,-0.0020171488,0.44553936
3.8000000000000003,-0.0024249542,0.4447451
3.85,-0.0027514175,0.44400877
3.9000000000000004,-0.0030055272,0.44336426
3.95,-0.0032005296,0.44271597
4.0,-0.0032301568,0.4421072
4.05,-0.0030518295,0.44174913
4.1000000000000005,-0.0025956102,0.44148108
4.15,-0.0022869576,0.44118786
4.2,-0.0019480673,0.44082117
4.25,-0.0018106615,0.4404721
4.3,-0.0018559373,0.44004378
4.3500000000000005,-0.0017336893,0.43979925
4.4,-0.001534671,0.43953815
4.45,-0.0012272258,0.43926924
4.5,-0.00090785616,0.43911478
4.55,-0.0005474306,0.43919542
4.6000000000000005,-7.181239e-05,0.43919817
4.65,0.00038105567,0.43912452
4.7,0.0007583499,0.4392504
4.75,0.0010746376,0.4394282
4.800000000000001,0.0012708439,0.43963826
4.8500000000000005,0.0012774353,0.4399091
4.9,0.0012928004,0.44026372
4.95,0.0014082738,0.44080162
5.0,0.001487845,0.4416032
5.050000000000001,0.0016680527,0.44239634
5.1000000000000005,0.0015053167,0.44346717
5.15,0.0015442357,0.44460505
5.2,0.0015719595,0.44576442
5.25,0.0015701791,0.44690397
5.300000000000001,0.0014378725,0.4480922
5.3500000000000005,0.0014967935,0.4492684
5.4,0.0014247175,0.45031944
5.45,0.0013436523,0.45131117
5.5,0.0014846618,0.4523934
5.550000000000001,0.001633845,0.4535777
5.6000000000000005,0.0019302097,0.45478562
5.65,0.0020902057,0.45604044
5.7,0.0021195384,0.4573295
5.75,0.002164408,0.4585589
5.800000000000001,0.0022286328,0.45982537
5.8500000000000005,0.0021593475,0.46111208
5.9,0.0019465305,0.4623338
5.95,0.001721826,0.4636077
6.0,0.001482752,0.46499914
6.050000000000001,0.0012200988,0.46639988
6.1000000000000005,0.00077878986,0.46769023
6.15,0.0004145977,0.4686776
6.2,-0.00014403864,0.46967506
6.25,-0.0006753272,0.4705228
6.300000000000001,-0.0012377802,0.47129264
6.3500000000000005,-0.0019272702,0.47219753
6.4,-0.002766646,0.4729689
6.45,-0.0037349688,0.47385335
6.5,-0.004699859,0.47474372
6.550000000000001,-0.00563566,0.47546238
6.6000000000000005,-0.0066421833,0.47622302
6.65,-0.007510719,0.47703147
6.7,-0.008482987,0.4776437
6.75,-0.00953081,0.47833303
6.800000000000001,-0.010799291,0.47923422
6.8500000000000005,-0.012091911,0.48026484
6.9,-0.013304403,0.48136494
6.95,-0.014380249,0.48247045
7.0,-0.015425666,0.4834285
7.050000000000001,-0.016363256,0.48444724
7.1000000000000005,-0.017430095,0.48530048
7.15,-0.018403469,0.48635533
7.2,-0.019305434,0.48726183
7.25,-0.020229848,0.48820066
7.300000000000001,-0.021056905,0.48919904
7.3500000000000005,-0.021862885,0.49028185
7.4,-0.022692477,0.4913986
7.45,-0.023533344,0.49248192
7.5,-0.02440294,0.4935985
7.550000000000001,-0.025018215,0.4947356
7.6000000000000005,-0.025587726,0.49584496
7.65,-0.026356334,0.4970044
7.7,-0.027089838,0.49811152
7.75,-0.027593024,0.4991347
7.800000000000001,-0.028167026,0.5001833
7.8500000000000005,-0.028643401,0.50125736
7.9,-0.029127695,0.50235844
7.95,-0.029767571,0.50358987
8.0,-0.030600132,0.5048003
8.05,-0.031218456,0.5058948
8.1,-0.031935476,0.5069591
8.15,-0.032561727,0.50785977
8.200000000000001,-0.033018064,0.50855273
8.25,-0.033114422,0.50897336
8.3,-0.0332734,0.50926864
8.35,-0.033337455,0.5094616
8.4,-0.03338913,0.50957626
8.450000000000001,-0.03332132,0.5096456
8.5,-0.032975774,0.50959533
8.55,-0.032612298,0.5096243
8.6,-0.03211572,0.5095652
8.65,-0.031561367,0.5095777
8.700000000000001,-0.031051511,0.5096553
8.75,-0.030679507,0.50953376
8.8,-0.030315844,0.50936836
8.85,-0.02988411,0.5092513
8.9,-0.02921435,0.50887966
8.950000000000001,-0.028310558,0.50840575
9.0,-0.027459778,0.50785923
9.05,-0.026610415,0.50727856
9.1,-0.025486661,0.5067247
9.15,-0.024291852,0.5062624
9.200000000000001,-0.023263764,0.5057871
9.25,-0.022069158,0.50517994
9.3,-0.020630917,0.5043271
9.35,-0.019126678,0.50350654
9.4,-0.017563295,0.50262463
9.450000000000001,-0.015978495,0.501795
9.5,-0.014521966,0.5010594
9.55,-0.012832331,0.5003399
9.600000000000001,-0.011181005,0.49969375
9.65,-0.0096273655,0.49906167
9.700000000000001,-0.007963813,0.49836332
9.75,-0.0064058253,0.49759915
9.8,-0.0048490497,0.4968393
9.850000000000001,-0.0033838705,0.49625838
9.9,-0.001688798,0.4958058
9.950000000000001,0.00020166487,0.49542576
10.0,0.0020889272,0.49492264
10.05,0.0035740547,0.49443147
10.100000000000001,0.0051182085,0.49393603
10.15,0.00665745,0.4933788
10.200000000000001,0.008159564,0.49290168
10.25,0.009680076,0.49236616
10.3,0.011318951,0.49175808
10.350000000000001,0.012687227,0.4910272
10.4,0.014040348,0.49031365
10.450000000000001,0.015366169,0.4896423
10.5,0.016582835,0.48905146
10.55,0.017626991,0.48851454
10.600000000000001,0.01884836,0.48795626
10.65,0.020117206,0.48758143
10.700000000000001,0.021250827,0.48726264
10.75,0.022395633,0.48718637
10.8,0.023712955,0.48708922
10.850000000000001,0.02490422,0.48729897
10.9,0.026056355,0.48757803
10.950000000000001,0.02724732,0.48786032
11.0,0.028337639,0.48812827
11.05,0.02949189,0.48838112
11.100000000000001,0.030837277,0.48868516
11.15,0.032126755,0.48896247
11.200000000000001,0.03347358,0.48951244
11.25,0.034740467,0.49014324
11.3,0.03597106,0.49078724
11.350000000000001,0.03709493,0.49159324
11.4,0.03805256,0.49240333
11.450000000000001,0.039000228,0.49318373
11.5,0.039737716,0.4941238
11.55,0.040320892,0.49489033
11.600000000000001,0.04089688,0.49579862
11.65,0.04151824,0.4967602
11.700000000000001,0.042208858,0.49762005
11.75,0.042839583,0.4985248
11.8,0.043287296,0.4996103
11.850000000000001,0.04393932,0.50078857
11.9,0.04457818,0.5018977
11.950000000000001,0.04491149,0.50298613
12.0,0.04504734,0.5041243
12.05,0.045032,0.50519127
12.100000000000001,0.045013767,0.5061374
12.15,0.045049414,0.50710577
12.200000000000001,0.04497124,0.5082366
12.25,0.045025192,0.5094035
12.3,0.04512411,0.5105012
12.350000000000001,0.044897757,0.5117276
